,ID,Link,Title,Location,Excerpt,Address,Size (Meters Squared),Price (ZAR),Bedrooms,Bathrooms,Parking Spaces,Estate Agency,Price per Size (ZAR/Meter Squared)
47,111441609,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111441609,Apartment,Green Point,Spacious apartment offering it all!Opportunity to design your own lifestyle! The ...,221 Main Road,141.0,5200000,3.0,3.0,2.0,Seeff Sea Point - Sales,36879.43262411348
80,111425198,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111425198,Apartment,Green Point,"Exclusive Joint MandateBrand new unfurnished spacious modern bright and light open-plan apartment with living / entertainment area, 1 ...",,74.0,3665000,1.0,1.0,1.0,Rawson Properties Atlantic,49527.02702702703
105,111405474,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111405474,Apartment,Green Point,A unique offering: central studio apartment with communal entertainment facilities in a ...,8 York Road,44.0,1495000,,1.0,1.0,Vintroux International Real Estate Specialists,33977.27272727273
245,111409268,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111409268,Apartment,Green Point,Exclusive MarketingA truly unmissable opportunity to own real estate in the niche ...,5 Wessels Road,82.0,2499000,2.0,1.5,1.0,Quay 1 International Realty,30475.60975609756
338,111316658,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111316658,Apartment,Green Point,"2 Bedroomed, 2 bathroomed apartment. Open plan kitchen and living areas, leading onto ...",169 Main Road,87.0,5485000,2.0,2.0,2.0,Pam Golding Properties - Atlantic Seaboard,63045.97701149425
382,111307796,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111307796,Apartment,Green Point,"Sole mandate and priced to sell!!Located in the heart of Green Point, and within short ...",197 Main Road,54.0,2595000,1.0,1.0,2.0,"Just Property, Atlantic Seaboard",48055.555555555555
383,111404775,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111404775,Apartment,Green Point,"This 125m2 apartment situated high up in the building, on the front row on Main Road, Green Point, has spectacular views overlooking ...",,125.0,5450000,2.0,1.0,2.0,Lionlead Real Estate,43600.0
446,111359237,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111359237,Apartment,Green Point,"This three bedroom, two bathroom apartment at NINE ON S is perfectly positioned in Green ...","Apartment 1g, 7 Scholtz Road",171.0,6575000,3.0,2.0,2.0,Blok Urban Living,38450.29239766082
487,111383081,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111383081,Apartment,Green Point,"This stylish, newly renovated apartment ready to move-in or continue as an excellent ...",8 Upper Portswood Road,52.0,2575000,1.0,1.0,2.0,Quay 1 International Realty,49519.230769230766
488,111359287,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111359287,Apartment,Green Point,"This two bedroom, one bathroom apartment at NINE ON S is perfectly positioned in Green ...","Apartment 1c, 7 Scholtz Road",89.0,4275000,2.0,1.0,2.0,Blok Urban Living,48033.70786516854
655,111424685,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111424685,Apartment,Green Point,"Situated just next door to the Green Point Giovanni's Deli and the Green Point strip of restaurants, shops, and across the road ...",,63.0,1875000,1.0,1.0,,The Agency Property Group,29761.904761904763
723,111353540,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111353540,Apartment,Green Point,"Security, parking, swimming pool, gym and direct private access to Waterkant Street - ...",11 Boundary Road,77.0,2995000,2.0,1.5,1.0,CARADOC | CAPE PROPERTY SPECIALISTS,38896.103896103894
746,108372774,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108372774,Apartment,Green Point,Fantastic Airbnb unit or lock up and go.An easy move for someone moving to CT from up country.Details are as follows:* 2 Bedroom ...,,87.0,3399000,2.0,1.0,1.0,Tyson Properties Atlantic Seaboard,39068.96551724138
812,111237453,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111237453,Apartment,Green Point,"Luxury living from this brand new, chic and stylish 2 bedroomed 2 bath roomed apartment. ...",169 Main Road,86.0,5330000,2.0,2.0,2.0,Pam Golding Properties - Atlantic Seaboard,61976.74418604651
880,111360824,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111360824,Apartment,Green Point,This 67 1 bedroom Gem is a fantastic investment because it is located high up in ...,137 Main Road,67.0,2650000,1.0,1.0,1.0,RE/MAX Living,39552.23880597015
884,111455618,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111455618,Apartment,Green Point,This open plan apartment is perfectly spacious with accommodation including two bedrooms ...,Cape Royale Hotel,119.0,4490000,2.0,2.0,2.0,Atteridge Real Estate,37731.09243697479
971,111411065,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111411065,Apartment,Green Point,"Newly renovated and soaked in natural light, this spacious 2-bedroom, 2-bathroom apartment in a boutique block on High Level Road hits ...",,96.0,3690000,2.0,2.0,1.0,RE/MAX Living,38437.5
996,111347073,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111347073,Apartment,Green Point,Sole mandate.What an incredible find! The pictures speak for itself.Situated on the boundary of trendy De Waterkant in close ...,,54.0,2350000,1.0,2.0,1.0,RE/MAX Living,43518.51851851852
997,111359957,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111359957,Apartment,Green Point,Sole mandate.What an incredible find! The pictures speak for itself.Situated on the boundary of trendy De Waterkant in close ...,,54.0,2350000,1.0,2.0,1.0,RE/MAX Living,43518.51851851852
1004,111218264,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111218264,Apartment,Green Point,"Situated in the heart of Green Point, in a popular block just a stone's throw away ...",3 Vesperdene Road,91.0,3695000,2.0,2.0,2.0,Mayfair Property Group,40604.395604395606
1024,111415744,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111415744,Apartment,Green Point,"With the Cape Town Stadium, Golf Course, Athletic clubs, tennis clubs, vibrant restaurants, coffee shops, schools, and promenade all ...",,101.0,4495000,2.0,2.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,44504.9504950495
1080,111355310,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111355310,Apartment,Green Point,This spectacular two-bedroomed apartment is located a block away from the iconic Sea Point Promenade and the prominent Green Point ...,,105.0,2950000,2.0,1.0,1.0,Greeff Christie's International Real Estate - Head Office,28095.238095238095
1081,111209999,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111209999,Apartment,Green Point,"Airbnb and pet-friendly, the spacious (132sqm) immaculate 2 bedroom, 2 bathroom (both ...",1 Upper Portswood Road,132.0,3895000,2.0,2.0,2.0,Seeff Sea Point - Sales,29507.575757575756
1244,111212412,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111212412,Apartment,Green Point,This 24-hour security complex with its large communal pool and tranquil gardens is so ...,5 Wessels Road,82.0,2850000,2.0,1.5,1.0,Seeff Sea Point - Sales,34756.09756097561
1260,111306463,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111306463,Apartment,Green Point,"Sole mandate and priced to sell!!Located in the heart of Green Point, and within short ...",197 Main Road,54.0,2650000,1.0,1.0,2.0,"Just Property, Atlantic Seaboard",49074.07407407407
1321,111337748,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111337748,Apartment,Green Point,Price R4.750 Million (incl. VAT - no transfer duty)169 On Main offers a selection of 1 bedroom and 2 bedroom units which have been ...,,102.0,4750000,2.0,2.0,1.0,Dogon Group Sea Point - Head Office,46568.62745098039
1493,111362828,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111362828,Apartment,Green Point,Wonderfully positioned and close to all amenities within Greenpoint.Apartment offers an opportunity to renovate and live in excellent ...,,96.0,2895000,2.0,1.0,1.0,Tyson Properties Atlantic Seaboard,30156.25
1626,110701615,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110701615,Apartment,Green Point,A SUPERIOR INVESTMENT IN TRENDY GREEN POINTThis North-facing immaculate apartment with an open & bright outlook includes a large ...,,50.0,2495000,,1.0,1.0,Dogon Group Sea Point - Head Office,49900.0
1640,111357458,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111357458,Apartment,Green Point,"If you are looking for an investment opportunity on the Atlantic Seaboard, then look no further. This 4th Floor, 1 bedroom, 1 bathroom ...",,66.0,3599000,1.0,1.0,2.0,Firzt Realty Company,54530.30303030303
1673,111425141,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111425141,Apartment,Green Point,"In the heart of the ever so trending Green Point area, you will find a very upmarket apartment block/townhouse complex type development ...",,110.0,6499000,2.0,1.0,1.0,Law Real Estate,59081.818181818184
1675,111447263,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111447263,Apartment,Green Point,"In the heart of the ever so trending Green Point area, you will find a very upmarket apartment block/townhouse complex type development ...",,110.0,6499000,2.0,1.0,1.0,Law Real Estate,59081.818181818184
1715,111341040,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111341040,Apartment,Green Point,A Newly Renovated Airbnb Friendly Edwardian Apartment Exclusive MandateA profitable Airbnb rental property to buy. This ultra ...,,76.0,5595000,2.0,2.0,,Evolution Properties,73618.42105263157
1800,111348238,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111348238,Apartment,Green Point,"Come and see this north facing, sunny, corner apartment on the second floor. Situated walking distance to the Green Point Stadium ...",,95.0,2950000,2.0,1.0,2.0,RE/MAX Living,31052.63157894737
1867,111191794,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111191794,Apartment,Green Point,"*** Exclusive Mandate ***The moment you enter  this  apartment, you will be pleasantly ...",65 Main Road,113.0,4350000,2.0,1.0,2.0,,38495.57522123894
1872,111164529,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111164529,Apartment,Green Point,This apartment is perfectly situated in the vibrant Green Point and ideal for trendy ...,1 Upper Portswood Road,142.0,6200000,2.0,2.5,2.0,Lance Real Estate,43661.971830985916
1883,111377631,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111377631,Apartment,Green Point,This bright and sunny East facing studio apartment is situated in the hub of vibey Green ...,47 Cascades Vesperdene Road Green Point,41.0,1495000,0.5,1.0,,LM Property Group - Cape Town,36463.41463414634
1958,111425345,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111425345,Apartment,Green Point,"In the heart of the ever so trending Green Point area, you will find a very upmarket apartment block/townhouse complex type development ...",,110.0,4499000,2.0,1.0,1.0,Law Real Estate,40900.0
1962,111340472,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111340472,Apartment,Green Point,"This beautifully renovated North facing corner apartment offers you everything you need.Both bedrooms are large, light and bright and ...",,95.0,2950000,2.0,1.0,2.0,Live Real Estate,31052.63157894737
1975,111319907,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111319907,Apartment,Green Point,"Sole Mandate. This delightful, bright studio apartment is fully furnished and equipped. North facing, the studio enjoys an abundance of ...",,47.0,2550000,,1.0,1.0,Knight Frank,54255.31914893617
